課別,課程名稱,講師,助教,上課地址,上課位置,起始日期,"SPM教案 "
1,ESM SPM二 14:30-15:30,TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),,,FLB教室,2025年9月16日 14:00 (GMT+8) → 15:00,螃蟹走路 (https://www.notion.so/1a00a4c0ed84808981a7eaa3154b3d10?pvs=21)
2,ESM SPM二 14:30-15:30,TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),,,FLB教室,2025年9月23日 14:00 (GMT+8) → 15:00,兔子 (https://www.notion.so/2470a4c0ed8480058133e4ed3f585522?pvs=21)
3,ESM SPM二 14:30-15:30,TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),,,FLB教室,2025年10月21日 14:30 (GMT+8) → 15:30,特技摩托 (https://www.notion.so/2470a4c0ed8480db8db0ed98bf11fb2f?pvs=21)
4,ESM SPM二 14:30-15:30,TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),,,FLB教室,2025年10月28日 14:30 (GMT+8) → 15:30,海盜船 (https://www.notion.so/2470a4c0ed8480f2b04febd84048e678?pvs=21)
5,ESM SPM二 14:30-15:30,TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),,,FLB教室,2025年11月4日 14:30 (GMT+8) → 15:30,直升機 (https://www.notion.so/2470a4c0ed848093aec9d957a9011711?pvs=21)
6,ESM SPM二 14:30-15:30,TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),,,FLB教室,2025年11月11日 14:30 (GMT+8) → 15:30,自動轉向車 (https://www.notion.so/2470a4c0ed848094a44ae454b1e29e86?pvs=21)
7,ESM SPM二 14:30-15:30,TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),,,FLB教室,2025年11月18日 14:30 (GMT+8) → 15:30,陀螺發射器 (https://www.notion.so/2470a4c0ed84800dae9ae0d3144f71f1?pvs=21)
8,ESM SPM二 14:30-15:30,TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),,,FLB教室,2025年11月25日 14:30 (GMT+8) → 15:30,拳擊機器人 (https://www.notion.so/2470a4c0ed8480dc930bf2d8383e93fc?pvs=21)
9,ESM SPM二 14:30-15:30,TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),,,FLB教室,2025年12月2日 14:30 (GMT+8) → 15:30,走鋼絲 (https://www.notion.so/2470a4c0ed84802c9ceae609a06fc18a?pvs=21)
10,ESM SPM二 14:30-15:30,TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),,,FLB教室,2025年12月9日 14:30 (GMT+8) → 15:30,企鵝 (https://www.notion.so/2470a4c0ed84807bb26ce48c966438c7?pvs=21)
11,ESM SPM二 14:30-15:30,TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),,,FLB教室,2025年12月16日 14:30 (GMT+8) → 15:30,畫圖機 (https://www.notion.so/2470a4c0ed8480c9a243c69143a966b3?pvs=21)
12,ESM SPM二 14:30-15:30,TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),,,FLB教室,2025年12月23日 14:30 (GMT+8) → 15:30,鰐魚 (https://www.notion.so/2470a4c0ed848083b59be2b459132afc?pvs=21)
13,ESM SPM二 14:30-15:30,TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),,,FLB教室,2025年12月30日 14:30 (GMT+8) → 15:30,掃地清潔車 (https://www.notion.so/2470a4c0ed84804eaac7dff2f6babebe?pvs=21)
14,ESM SPM二 14:30-15:30,TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),,,FLB教室,2026年1月6日 14:30 (GMT+8) → 15:30,伸縮夾子 (https://www.notion.so/2470a4c0ed84808db7dad1ea5da81d8f?pvs=21)
15,ESM SPM二 14:30-15:30,TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),,,FLB教室,2026年1月13日 14:30 (GMT+8) → 15:30,洞棍發射器 (https://www.notion.so/2470a4c0ed848085b28bf324ea215118?pvs=21)
16,ESM SPM二 14:30-15:30,TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),,,FLB教室,,排擋稈車子 (https://www.notion.so/2470a4c0ed84800585ced819c94ecf00?pvs=21)
