課別,課程名稱,講師,助教,上課地址,上課位置,起始日期,ESM 第一期,"ESM 第二期 "
1,ESM 六 10:00-10:40 外,"TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21), TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21)",GILLIAN (https://www.notion.so/GILLIAN-2140a4c0ed84807e9970cd3424975f9b?pvs=21),台北市大安區潮州街38號,大樹先生,2025年9月13日 10:00 (GMT+8) → 10:40,電鑽_小車 (https://www.notion.so/_-2080a4c0ed8480e4b565f23beb5286f8?pvs=21),
2,ESM 六 10:00-10:40 外,TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21),GILLIAN (https://www.notion.so/GILLIAN-2140a4c0ed84807e9970cd3424975f9b?pvs=21),台北市大安區潮州街38號,大樹先生,2025年9月20日 10:00 (GMT+8) → 10:40,自動打鼓機 (https://www.notion.so/20c0a4c0ed8480c29278ebb07f161274?pvs=21),
3,ESM 六 10:00-10:40 外,TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21),GILLIAN (https://www.notion.so/GILLIAN-2140a4c0ed84807e9970cd3424975f9b?pvs=21),台北市大安區潮州街38號,大樹先生,2025年9月27日 10:00 (GMT+8) → 10:40,機器人 (https://www.notion.so/21c0a4c0ed84809e8482f13218db7cb3?pvs=21),
4,ESM 六 10:00-10:40 外,TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21),GILLIAN (https://www.notion.so/GILLIAN-2140a4c0ed84807e9970cd3424975f9b?pvs=21),台北市大安區潮州街38號,大樹先生,2025年10月4日 10:00 (GMT+8) → 10:40,自動印表機（攪面機） (https://www.notion.so/20c0a4c0ed8480c0a113f075f0c46fe0?pvs=21),
5,ESM 六 10:00-10:40 外,TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21),GILLIAN (https://www.notion.so/GILLIAN-2140a4c0ed84807e9970cd3424975f9b?pvs=21),台北市大安區潮州街38號,大樹先生,2025年10月11日 10:00 (GMT+8) → 10:40," 碾碎機器人 (https://www.notion.so/20c0a4c0ed848081aba3f55be3f30113?pvs=21)",
6,ESM 六 10:00-10:40 外,TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21),GILLIAN (https://www.notion.so/GILLIAN-2140a4c0ed84807e9970cd3424975f9b?pvs=21),台北市大安區潮州街38號,大樹先生,2025年10月18日 10:00 (GMT+8) → 10:40,旋轉木馬 (https://www.notion.so/20c0a4c0ed848079912beeecaf100816?pvs=21),
7,ESM 六 10:00-10:40 外,TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21),GILLIAN (https://www.notion.so/GILLIAN-2140a4c0ed84807e9970cd3424975f9b?pvs=21),台北市大安區潮州街38號,大樹先生,2025年10月25日 10:00 (GMT+8) → 10:40,自動螺旋漿車 (https://www.notion.so/21c0a4c0ed8480b4a64dd2788e47ca22?pvs=21),
8,ESM 六 10:00-10:40 外,TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21),GILLIAN (https://www.notion.so/GILLIAN-2140a4c0ed84807e9970cd3424975f9b?pvs=21),台北市大安區潮州街38號,大樹先生,2025年11月1日 10:00 (GMT+8) → 10:40,馬戲團雜耍 (https://www.notion.so/20c0a4c0ed84800cb5e4f8c872b21462?pvs=21),
9,ESM 六 10:00-10:40 外,TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21),GILLIAN (https://www.notion.so/GILLIAN-2140a4c0ed84807e9970cd3424975f9b?pvs=21),台北市大安區潮州街38號,大樹先生,2025年11月8日 10:00 (GMT+8) → 10:40,戰鬥直升機（簡易版） (https://www.notion.so/20c0a4c0ed8480e7bc8fd0ee93d210c6?pvs=21),
10,ESM 六 10:00-10:40 外,TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21),GILLIAN (https://www.notion.so/GILLIAN-2140a4c0ed84807e9970cd3424975f9b?pvs=21),台北市大安區潮州街38號,大樹先生,2025年11月15日 10:00 (GMT+8) → 10:40,搖搖馬 (https://www.notion.so/1c00a4c0ed8480fbbcfcf483d419f787?pvs=21),
