課別,課程名稱,講師,助教,上課地址,上課位置,起始日期,"SPM教案 "
1,SPIKE PRO 日 10:00-12:00,TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21),,忠孝東路四段２４８巷２９號１１樓之一,FLB教室,2025年9月7日 10:00 (GMT+8) → 12:00,ai 客製 (https://www.notion.so/ai-26c0a4c0ed84809695defc4557dab38e?pvs=21)
2,SPIKE PRO 日 10:00-12:00,TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21),,忠孝東路四段２４８巷２９號１１樓之一,FLB教室,2025年9月14日 10:00 (GMT+8) → 12:00,ai 客製 (https://www.notion.so/ai-26c0a4c0ed84809695defc4557dab38e?pvs=21)
3,SPIKE PRO 日 10:00-12:00,TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21),,忠孝東路四段２４８巷２９號１１樓之一,FLB教室,2025年9月21日 10:00 (GMT+8) → 12:00,ai 客製 (https://www.notion.so/ai-26c0a4c0ed84809695defc4557dab38e?pvs=21)
4,SPIKE PRO 日 10:00-12:00,TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21),,忠孝東路四段２４８巷２９號１１樓之一,FLB教室,2025年9月28日 10:00 (GMT+8) → 12:00,ai 客製 (https://www.notion.so/ai-26c0a4c0ed84809695defc4557dab38e?pvs=21)
5,SPIKE PRO 日 10:00-12:00,TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21),,忠孝東路四段２４８巷２９號１１樓之一,FLB教室,2025年10月19日 10:00 (GMT+8) → 12:00,ai 客製 (https://www.notion.so/ai-26c0a4c0ed84809695defc4557dab38e?pvs=21)
6,SPIKE PRO 日 10:00-12:00,TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21),,忠孝東路四段２４８巷２９號１１樓之一,FLB教室,2025年11月2日 10:00 (GMT+8) → 12:00,ai 客製 (https://www.notion.so/ai-26c0a4c0ed84809695defc4557dab38e?pvs=21)
7,SPIKE PRO 日 10:00-12:00,TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21),,忠孝東路四段２４８巷２９號１１樓之一,FLB教室,2025年11月9日 10:00 (GMT+8) → 12:00,ai 客製 (https://www.notion.so/ai-26c0a4c0ed84809695defc4557dab38e?pvs=21)
8,SPIKE PRO 日 10:00-12:00,TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21),,忠孝東路四段２４８巷２９號１１樓之一,FLB教室,2025年11月16日 10:00 (GMT+8) → 12:00,ai 客製 (https://www.notion.so/ai-26c0a4c0ed84809695defc4557dab38e?pvs=21)
9,SPIKE PRO 日 10:00-12:00,TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21),,忠孝東路四段２４８巷２９號１１樓之一,FLB教室,2025年11月23日 10:00 (GMT+8) → 12:00,ai 客製 (https://www.notion.so/ai-26c0a4c0ed84809695defc4557dab38e?pvs=21)
10,SPIKE PRO 日 10:00-12:00,TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21),,忠孝東路四段２４８巷２９號１１樓之一,FLB教室,2025年11月30日 10:00 (GMT+8) → 12:00,ai 客製 (https://www.notion.so/ai-26c0a4c0ed84809695defc4557dab38e?pvs=21)
11,SPIKE PRO 日 10:00-12:00,TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21),,忠孝東路四段２４８巷２９號１１樓之一,FLB教室,2025年12月7日 10:00 (GMT+8) → 12:00,ai 客製 (https://www.notion.so/ai-26c0a4c0ed84809695defc4557dab38e?pvs=21)
12,SPIKE PRO 日 10:00-12:00,TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21),,忠孝東路四段２４８巷２９號１１樓之一,FLB教室,2025年12月14日 10:00 (GMT+8) → 12:00,ai 客製 (https://www.notion.so/ai-26c0a4c0ed84809695defc4557dab38e?pvs=21)
13,SPIKE PRO 日 10:00-12:00,TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21),,忠孝東路四段２４８巷２９號１１樓之一,FLB教室,2025年12月21日 10:00 (GMT+8) → 12:00,ai 客製 (https://www.notion.so/ai-26c0a4c0ed84809695defc4557dab38e?pvs=21)
14,SPIKE PRO 日 10:00-12:00,TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21),,忠孝東路四段２４８巷２９號１１樓之一,FLB教室,2025年12月28日 10:00 (GMT+8) → 12:00,ai 客製 (https://www.notion.so/ai-26c0a4c0ed84809695defc4557dab38e?pvs=21)
15,SPIKE PRO 日 10:00-12:00,TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21),,忠孝東路四段２４８巷２９號１１樓之一,FLB教室,2026年1月4日 10:00 (GMT+8) → 12:00,ai 客製 (https://www.notion.so/ai-26c0a4c0ed84809695defc4557dab38e?pvs=21)
16,SPIKE PRO 日 10:00-12:00,TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21),,忠孝東路四段２４８巷２９號１１樓之一,FLB教室,2026年1月11日 10:00 (GMT+8) → 12:00,ai 客製 (https://www.notion.so/ai-26c0a4c0ed84809695defc4557dab38e?pvs=21)
