課別,課程名稱,講師,助教,上課地址,上課位置,起始日期,ESM 第一期,"ESM 第二期 "
1,SPM ESM 二 14:30-15:30,紫米 (https://www.notion.so/2560a4c0ed84804b9a62f6353127bd9a?pvs=21),,,FLB教室,2025年9月16日 14:30 (GMT+8) → 15:30," 碾碎機器人 (https://www.notion.so/20c0a4c0ed848081aba3f55be3f30113?pvs=21)",
2,SPM ESM 二 14:30-15:30,紫米 (https://www.notion.so/2560a4c0ed84804b9a62f6353127bd9a?pvs=21),,,FLB教室,2025年9月23日 14:30 (GMT+8) → 15:30,旋轉木馬 (https://www.notion.so/20c0a4c0ed848079912beeecaf100816?pvs=21),
3,SPM ESM 二 14:30-15:30,紫米 (https://www.notion.so/2560a4c0ed84804b9a62f6353127bd9a?pvs=21),,,FLB教室,2025年10月21日 14:30 (GMT+8) → 15:30,自動螺旋漿車 (https://www.notion.so/21c0a4c0ed8480b4a64dd2788e47ca22?pvs=21),
4,SPM ESM 二 14:30-15:30,紫米 (https://www.notion.so/2560a4c0ed84804b9a62f6353127bd9a?pvs=21),,,FLB教室,2025年10月28日 14:30 (GMT+8) → 15:30,馬戲團雜耍 (https://www.notion.so/20c0a4c0ed84800cb5e4f8c872b21462?pvs=21),
5,SPM ESM 二 14:30-15:30,紫米 (https://www.notion.so/2560a4c0ed84804b9a62f6353127bd9a?pvs=21),,,FLB教室,2025年11月4日 14:30 (GMT+8) → 15:30,戰鬥直升機（簡易版） (https://www.notion.so/20c0a4c0ed8480e7bc8fd0ee93d210c6?pvs=21),
6,SPM ESM 二 14:30-15:30,紫米 (https://www.notion.so/2560a4c0ed84804b9a62f6353127bd9a?pvs=21),,,FLB教室,2025年11月11日 14:30 (GMT+8) → 15:30,搖搖馬 (https://www.notion.so/1c00a4c0ed8480fbbcfcf483d419f787?pvs=21),
7,SPM ESM 二 14:30-15:30,紫米 (https://www.notion.so/2560a4c0ed84804b9a62f6353127bd9a?pvs=21),,,FLB教室,2025年11月18日 14:30 (GMT+8) → 15:30,掃地車 (https://www.notion.so/1ce0a4c0ed8480ecac13cc70591203df?pvs=21),
8,SPM ESM 二 14:30-15:30,紫米 (https://www.notion.so/2560a4c0ed84804b9a62f6353127bd9a?pvs=21),,,FLB教室,2025年11月25日 14:30 (GMT+8) → 15:30,會跳舞的花 (https://www.notion.so/1a10a4c0ed8481b49509c7398290e643?pvs=21),
9,SPM ESM 二 14:30-15:30,紫米 (https://www.notion.so/2560a4c0ed84804b9a62f6353127bd9a?pvs=21),,,FLB教室,2025年12月2日 14:30 (GMT+8) → 15:30,自動畫圖機 (https://www.notion.so/20c0a4c0ed848050a254f44c3fe4b8e5?pvs=21),
10,SPM ESM 二 14:30-15:30,紫米 (https://www.notion.so/2560a4c0ed84804b9a62f6353127bd9a?pvs=21),,,FLB教室,2025年12月9日 14:30 (GMT+8) → 15:30,雷達車 (https://www.notion.so/21c0a4c0ed84804f97b7e6ab1911baf0?pvs=21),
11,SPM ESM 二 14:30-15:30,紫米 (https://www.notion.so/2560a4c0ed84804b9a62f6353127bd9a?pvs=21),,,FLB教室,2025年12月16日 14:30 (GMT+8) → 15:30,超給力的攪拌機 (https://www.notion.so/20c0a4c0ed84809db422e754fa37acb5?pvs=21),
12,SPM ESM 二 14:30-15:30,紫米 (https://www.notion.so/2560a4c0ed84804b9a62f6353127bd9a?pvs=21),,,FLB教室,2025年12月23日 14:30 (GMT+8) → 15:30,機器人 (https://www.notion.so/21c0a4c0ed84809e8482f13218db7cb3?pvs=21),
13,SPM ESM 二 14:30-15:30,紫米 (https://www.notion.so/2560a4c0ed84804b9a62f6353127bd9a?pvs=21),,,FLB教室,2025年12月30日 14:30 (GMT+8) → 15:30,,風車 (https://www.notion.so/1a10a4c0ed8481778b38d2c3b70cd58e?pvs=21)
14,SPM ESM 二 14:30-15:30,紫米 (https://www.notion.so/2560a4c0ed84804b9a62f6353127bd9a?pvs=21),,,FLB教室,2026年1月6日 14:30 (GMT+8) → 15:30,,倒沙車 (https://www.notion.so/21d0a4c0ed8480798620fb4217d9afea?pvs=21)
15,SPM ESM 二 14:30-15:30,紫米 (https://www.notion.so/2560a4c0ed84804b9a62f6353127bd9a?pvs=21),,,FLB教室,2026年1月13日 14:30 (GMT+8) → 15:30,,海盜船 (https://www.notion.so/21d0a4c0ed848027a7d4df5e847957be?pvs=21)
16,SPM ESM 二 14:30-15:30,紫米 (https://www.notion.so/2560a4c0ed84804b9a62f6353127bd9a?pvs=21),,,FLB教室,,,足球游戲 (https://www.notion.so/21d0a4c0ed8480498cc4ce4fbbe478ae?pvs=21)
