課別,課程名稱,講師,助教,上課地址,上課位置,起始日期,"SPM教案 "
1,SPM 六 9:30-11:00,JAMES (https://www.notion.so/JAMES-2140a4c0ed8480fead0dd51fa0e6bb5b?pvs=21),,站前教室,到府,2025年9月13日 9:30 (GMT+8) → 11:00,割草機 (https://www.notion.so/2680a4c0ed8480bea9ebf7964e41e62e?pvs=21)
2,SPM 六 9:30-11:00,JAMES (https://www.notion.so/JAMES-2140a4c0ed8480fead0dd51fa0e6bb5b?pvs=21),,站前教室,到府,2025年9月20日 9:30 (GMT+8) → 11:00,腳踏車 (https://www.notion.so/2680a4c0ed848042915ed225bbf5543c?pvs=21)
3,SPM 六 9:30-11:00,JAMES (https://www.notion.so/JAMES-2140a4c0ed8480fead0dd51fa0e6bb5b?pvs=21),,站前教室,到府,2025年9月27日 9:30 (GMT+8) → 11:00,四驅車 (https://www.notion.so/2680a4c0ed8480e09015c0ef578ef53f?pvs=21)
4,SPM 六 9:30-11:00,JAMES (https://www.notion.so/JAMES-2140a4c0ed8480fead0dd51fa0e6bb5b?pvs=21),,站前教室,到府,2025年10月18日 9:30 (GMT+8) → 11:00,大擺錘 (https://www.notion.so/2680a4c0ed8480d9af35e6650561523d?pvs=21)
5,SPM 六 9:30-11:00,JAMES (https://www.notion.so/JAMES-2140a4c0ed8480fead0dd51fa0e6bb5b?pvs=21),,站前教室,到府,2025年11月1日 9:30 (GMT+8) → 11:00,小球計時器 (https://www.notion.so/2680a4c0ed848053ab3dd1eaa6a8505e?pvs=21)
6,SPM 六 9:30-11:00,JAMES (https://www.notion.so/JAMES-2140a4c0ed8480fead0dd51fa0e6bb5b?pvs=21),,站前教室,到府,2025年11月8日 9:30 (GMT+8) → 11:00,機械手槍 (https://www.notion.so/2680a4c0ed8480338fe1fe6542199995?pvs=21)
7,SPM 六 9:30-11:00,JAMES (https://www.notion.so/JAMES-2140a4c0ed8480fead0dd51fa0e6bb5b?pvs=21),,站前教室,到府,2025年11月15日 9:30 (GMT+8) → 11:00,孔雀 (https://www.notion.so/2680a4c0ed8480bcb819cedb8e8299f9?pvs=21)
8,SPM 六 9:30-11:00,JAMES (https://www.notion.so/JAMES-2140a4c0ed8480fead0dd51fa0e6bb5b?pvs=21),,站前教室,到府,2025年11月22日 9:30 (GMT+8) → 11:00,吊車 (https://www.notion.so/2680a4c0ed848003b7a5d043f7e59213?pvs=21)
9,SPM 六 9:30-11:00,JAMES (https://www.notion.so/JAMES-2140a4c0ed8480fead0dd51fa0e6bb5b?pvs=21),,站前教室,到府,2025年11月29日 9:30 (GMT+8) → 11:00,摩天輪 (https://www.notion.so/2680a4c0ed84803eb043dc5eca8e25d7?pvs=21)
10,SPM 六 9:30-11:00,JAMES (https://www.notion.so/JAMES-2140a4c0ed8480fead0dd51fa0e6bb5b?pvs=21),,站前教室,到府,2025年12月6日 9:30 (GMT+8) → 11:00,釣魚遊戲 (https://www.notion.so/2680a4c0ed8480098147e14edcb47a1c?pvs=21)
11,"SPM 六 9:30-11:00 ",JAMES (https://www.notion.so/JAMES-2140a4c0ed8480fead0dd51fa0e6bb5b?pvs=21),,站前教室,到府,2025年12月13日 9:30 (GMT+8) → 11:00,移動靶 (https://www.notion.so/2680a4c0ed8480e486d4edccf2dfbc93?pvs=21)
12,SPM 六 9:30-11:00,JAMES (https://www.notion.so/JAMES-2140a4c0ed8480fead0dd51fa0e6bb5b?pvs=21),,站前教室,到府,2025年12月20日 9:30 (GMT+8) → 11:00,雪橇馴鹿 (https://www.notion.so/2680a4c0ed848027a749fcd126397cc1?pvs=21)
13,SPM 六 9:30-11:00,JAMES (https://www.notion.so/JAMES-2140a4c0ed8480fead0dd51fa0e6bb5b?pvs=21),,站前教室,到府,2025年12月27日 9:30 (GMT+8) → 11:00,聖誕老人 (https://www.notion.so/2680a4c0ed8480d8b17ccee5036f0c22?pvs=21)
14,"SPM 六 9:30-11:00 ",JAMES (https://www.notion.so/JAMES-2140a4c0ed8480fead0dd51fa0e6bb5b?pvs=21),,站前教室,到府,2026年1月3日 9:30 (GMT+8) → 11:00,訓龍高手 (https://www.notion.so/2680a4c0ed84807c8febce49c981b945?pvs=21)
15,"SPM 六 9:30-11:00 ",JAMES (https://www.notion.so/JAMES-2140a4c0ed8480fead0dd51fa0e6bb5b?pvs=21),,站前教室,到府,2026年1月10日 9:30 (GMT+8) → 11:00,電風扇 (https://www.notion.so/2680a4c0ed8480f1be8dd0349178f530?pvs=21)
16,"SPM 六 9:30-11:00 ",JAMES (https://www.notion.so/JAMES-2140a4c0ed8480fead0dd51fa0e6bb5b?pvs=21),,站前教室,到府,2026年1月17日 9:30 (GMT+8) → 11:00,氣墊船 (https://www.notion.so/2680a4c0ed8480fe881de50c0da7e550?pvs=21)
