課別,課程名稱,講師,助教,上課地址,上課位置,起始日期,"SPM教案 "
1,SPM 四 16:30-18:00 外,TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),,台北市士林區福林路240號,泰北國小,2025年9月4日 16:30 (GMT+8) → 18:00,螃蟹走路 (https://www.notion.so/1a00a4c0ed84808981a7eaa3154b3d10?pvs=21)
2,SPM 四 16:30-18:00 外,TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),,台北市士林區福林路240號,泰北國小,2025年9月11日 16:30 (GMT+8) → 18:00,兔子 (https://www.notion.so/2470a4c0ed8480058133e4ed3f585522?pvs=21)
3,SPM 四 16:30-18:00 外,TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),,台北市士林區福林路240號,泰北國小,2025年9月18日 16:30 (GMT+8) → 18:00,特技摩托 (https://www.notion.so/2470a4c0ed8480db8db0ed98bf11fb2f?pvs=21)
4,SPM 四 16:30-18:00 外,TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),,台北市士林區福林路240號,泰北國小,2025年9月25日 16:30 (GMT+8) → 18:00,海盜船 (https://www.notion.so/2470a4c0ed8480f2b04febd84048e678?pvs=21)
5,SPM 四 16:30-18:00 外,TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),,台北市士林區福林路240號,泰北國小,2025年10月2日 16:30 (GMT+8) → 18:00,直升機 (https://www.notion.so/2470a4c0ed848093aec9d957a9011711?pvs=21)
6,SPM 四 16:30-18:00 外,TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),,台北市士林區福林路240號,泰北國小,2025年10月9日 16:30 (GMT+8) → 18:00,自動轉向車 (https://www.notion.so/2470a4c0ed848094a44ae454b1e29e86?pvs=21)
7,SPM 四 16:30-18:00 外,TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),,台北市士林區福林路240號,泰北國小,2025年10月16日 16:30 (GMT+8) → 18:00,陀螺發射器 (https://www.notion.so/2470a4c0ed84800dae9ae0d3144f71f1?pvs=21)
8,SPM 四 16:30-18:00 外,TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),,台北市士林區福林路240號,泰北國小,2025年10月23日 16:30 (GMT+8) → 18:00,拳擊機器人 (https://www.notion.so/2470a4c0ed8480dc930bf2d8383e93fc?pvs=21)
9,SPM 四 16:30-18:00 外,TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),,台北市士林區福林路240號,泰北國小,2025年10月30日 16:30 (GMT+8) → 18:00,走鋼絲 (https://www.notion.so/2470a4c0ed84802c9ceae609a06fc18a?pvs=21)
10,SPM 四 16:30-18:00 外,TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),,台北市士林區福林路240號,泰北國小,2025年11月6日 16:30 (GMT+8) → 18:00,企鵝 (https://www.notion.so/2470a4c0ed84807bb26ce48c966438c7?pvs=21)
11,SPM 四 16:30-18:00 外,TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),,台北市士林區福林路240號,泰北國小,2025年11月13日 16:30 (GMT+8) → 18:00,畫圖機 (https://www.notion.so/2470a4c0ed8480c9a243c69143a966b3?pvs=21)
12,SPM 四 16:30-18:00 外,TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),,台北市士林區福林路240號,泰北國小,2025年11月20日 16:30 (GMT+8) → 18:00,鰐魚 (https://www.notion.so/2470a4c0ed848083b59be2b459132afc?pvs=21)
13,SPM 四 16:30-18:00 外,TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),,台北市士林區福林路240號,泰北國小,2025年11月27日 16:30 (GMT+8) → 18:00,掃地清潔車 (https://www.notion.so/2470a4c0ed84804eaac7dff2f6babebe?pvs=21)
14,SPM 四 16:30-18:00 外,TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),,台北市士林區福林路240號,泰北國小,2025年12月4日 16:30 (GMT+8) → 18:00,伸縮夾子 (https://www.notion.so/2470a4c0ed84808db7dad1ea5da81d8f?pvs=21)
15,SPM 四 16:30-18:00 外,TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),,台北市士林區福林路240號,泰北國小,2025年12月11日 16:30 (GMT+8) → 18:00,洞棍發射器 (https://www.notion.so/2470a4c0ed848085b28bf324ea215118?pvs=21)
16,SPM 四 16:30-18:00 外,TED (https://www.notion.so/TED-20d0a4c0ed8480bba5b9e744c69fe2a6?pvs=21),,台北市士林區福林路240號,泰北國小,2025年12月18日 16:30 (GMT+8) → 18:00,排擋稈車子 (https://www.notion.so/2470a4c0ed84800585ced819c94ecf00?pvs=21)
