課別,課程名稱,講師,助教,上課地址,上課位置,起始日期,"SPM教案 "
1,SPM 日 15:00-17:00 到府,TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21),,臺北市松山區慶城街 6-1  號 7 樓 - 701 房,到府,2025年9月7日 13:30 (GMT+8) → 15:00,壓麵機/輾麵機 (https://www.notion.so/2470a4c0ed8480cb90edefdd9863713d?pvs=21)
2,SPM 日 15:00-17:00 到府,TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21),,臺北市松山區慶城街 6-1  號 7 樓 - 701 房,到府,2025年9月14日 13:30 (GMT+8) → 15:00,城堡舞會 (https://www.notion.so/2470a4c0ed848016ac3de1b3b8d219ba?pvs=21)
3,SPM 日 15:00-17:00 到府,TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21),,臺北市松山區慶城街 6-1  號 7 樓 - 701 房,到府,2025年9月21日 13:30 (GMT+8) → 15:00,畫圖機（甜甜圈） (https://www.notion.so/2470a4c0ed848012bd17d67cf23d69ec?pvs=21)
4,SPM 日 15:00-17:00 到府,TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21),,臺北市松山區慶城街 6-1  號 7 樓 - 701 房,到府,2025年9月28日 13:30 (GMT+8) → 15:00,樹屋旁的蕩鞦韆 (https://www.notion.so/2470a4c0ed8480d3a6e0d2881bb3986d?pvs=21)
5,SPM 日 15:00-17:00 到府,TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21),,臺北市松山區慶城街 6-1  號 7 樓 - 701 房,到府,2025年10月19日 13:30 (GMT+8) → 15:00,海盜船 (https://www.notion.so/2470a4c0ed84804ebdb2ec3f390f48e4?pvs=21)
6,SPM 日 15:00-17:00 到府,TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21),,臺北市松山區慶城街 6-1  號 7 樓 - 701 房,到府,2025年11月2日 13:30 (GMT+8) → 15:00,自由落體 (https://www.notion.so/2470a4c0ed8480fd81e1dd912dfb5b59?pvs=21)
7,SPM 日 15:00-17:00 到府,TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21),,臺北市松山區慶城街 6-1  號 7 樓 - 701 房,到府,2025年11月9日 13:30 (GMT+8) → 15:00,輸送帶 (https://www.notion.so/2470a4c0ed8480a8a0f1dbbe6158a84d?pvs=21)
8,SPM 日 15:00-17:00 到府,TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21),,臺北市松山區慶城街 6-1  號 7 樓 - 701 房,到府,2025年11月16日 13:30 (GMT+8) → 15:00,南瓜馬車 (https://www.notion.so/2470a4c0ed84803b803ad437d2948eb0?pvs=21)
9,SPM 日 15:00-17:00 到府,TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21),,臺北市松山區慶城街 6-1  號 7 樓 - 701 房,到府,2025年11月23日 13:30 (GMT+8) → 15:00,加農炮 (https://www.notion.so/1e30a4c0ed8480aa8a59c498c0a585fd?pvs=21)
10,SPM 日 15:00-17:00 到府,TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21),,臺北市松山區慶城街 6-1  號 7 樓 - 701 房,到府,2025年11月30日 13:30 (GMT+8) → 15:00,飛天旋轉椅 (https://www.notion.so/2470a4c0ed8480208440d5197138630e?pvs=21)
11,SPM 日 15:00-17:00 到府,TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21),,臺北市松山區慶城街 6-1  號 7 樓 - 701 房,到府,2025年12月7日 13:30 (GMT+8) → 15:00,划龍舟 (https://www.notion.so/2470a4c0ed848089828ef68ebfc1af89?pvs=21)
12,SPM 日 15:00-17:00 到府,TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21),,臺北市松山區慶城街 6-1  號 7 樓 - 701 房,到府,2025年12月14日 13:30 (GMT+8) → 15:00,摩天輪 (https://www.notion.so/2470a4c0ed848012985cf926102dc1d7?pvs=21)
13,SPM 日 15:00-17:00 到府,TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21),,臺北市松山區慶城街 6-1  號 7 樓 - 701 房,到府,2025年12月21日 13:30 (GMT+8) → 15:00,老虎 (https://www.notion.so/2470a4c0ed84809b9c37c4a017180a08?pvs=21)
14,SPM 日 15:00-17:00 到府,TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21),,臺北市松山區慶城街 6-1  號 7 樓 - 701 房,到府,2025年12月28日 13:30 (GMT+8) → 15:00,毛毛蟲 (https://www.notion.so/1a40a4c0ed8480228284e7f0ebd52016?pvs=21)
15,SPM 日 15:00-17:00 到府,TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21),,臺北市松山區慶城街 6-1  號 7 樓 - 701 房,到府,2026年1月4日 13:30 (GMT+8) → 15:00,會滾動的熊 (https://www.notion.so/2470a4c0ed84804d855df70bd9c1393d?pvs=21)
16,SPM 日 15:00-17:00 到府,TIM (https://www.notion.so/TIM-20d0a4c0ed8480308069de985c815d59?pvs=21),,臺北市松山區慶城街 6-1  號 7 樓 - 701 房,到府,2026年1月11日 13:30 (GMT+8) → 15:00,畫圖車 (https://www.notion.so/2470a4c0ed84806ea998ea1a5398723e?pvs=21)
